cliente_id;data_disparo;dia_semana;canal;tipo_campanha;segmento_cliente;genero;faixa_etaria;opt_in_email;opt_in_sms;opt_in_push;opt_in_whatsapp;teve_desconto;pct_desconto;numero_disparos_30d;dias_desde_ultima_compra;frequencia_compras_historica;ticket_medio_historico_brl;abriu;clicou;converteu;valor_compra_brl;categoria_produto;dias_ate_recompra
CLI00360;2024-03-05;Terça;SMS;Carrinho Abandonado;Inativo;Não informado;35-44;Sim;Sim;Sim;Sim;Não;0;4;292;4;99.06;Sim;Não;Não;0.0;;
CLI01161;2024-08-07;Quarta;Push;Programa de Fidelidade;VIP;F;35-44;Sim;Não;Sim;Não;Não;0;10;56;12;616.48;Não;Não;Não;0.0;;
CLI01749;2024-03-18;Segunda;SMS;Carrinho Abandonado;Ativo;F;18-24;Não;Sim;Sim;Não;Não;0;5;45;14;171.31;Sim;Sim;Não;0.0;;
CLI01010;2024-08-12;Segunda;E-mail;Aniversário;Ativo;M;45-54;Sim;Sim;Sim;Sim;Não;0;3;17;15;266.37;Sim;Sim;Não;0.0;;
CLI01588;2025-05-25;Domingo;SMS;Conteúdo/Educativo;Ativo;F;25-34;Sim;Sim;Não;Sim;Não;0;2;72;15;243.77;Não;Não;Não;0.0;;
CLI01193;2025-03-25;Terça;E-mail;Promoção Flash;Ativo;F;35-44;Sim;Não;Sim;Sim;Sim;10;4;35;11;137.24;Não;Não;Não;0.0;;
CLI01450;2024-11-30;Sábado;E-mail;Lançamento de Produto;Ativo;F;45-54;Sim;Não;Não;Não;Não;0;10;81;16;180.79;Sim;Não;Não;0.0;;
CLI01542;2024-04-10;Quarta;E-mail;Aniversário;Em Risco;F;25-34;Sim;Sim;Não;Sim;Não;0;6;97;2;113.87;Sim;Não;Não;0.0;;
CLI00544;2025-05-15;Quinta;SMS;Programa de Fidelidade;Em Risco;F;35-44;Sim;Sim;Não;Sim;Não;0;9;157;2;108.42;Não;Não;Não;0.0;;
CLI00898;2024-12-23;Segunda;Push;Conteúdo/Educativo;Novo;M;35-44;Sim;Sim;Sim;Sim;Não;0;6;29;5;119.97;Não;Não;Não;0.0;;
CLI00379;2024-08-30;Sexta;SMS;Aniversário;Ativo;M;25-34;Não;Sim;Não;Sim;Sim;10;1;20;7;205.07;Sim;Não;Não;0.0;;
CLI01322;2024-03-24;Domingo;Push;Pós-compra;Ativo;Não informado;25-34;Sim;Sim;Sim;Sim;Não;0;5;29;15;181.36;Não;Não;Não;0.0;;
CLI01786;2024-06-15;Sábado;WhatsApp;Pós-compra;Ativo;F;25-34;Sim;Sim;Sim;Sim;Sim;10;5;26;24;263.98;Sim;Não;Não;0.0;;
CLI00568;2025-06-07;Sábado;E-mail;Promoção Flash;Em Risco;F;25-34;Sim;Sim;Não;Sim;Sim;30;2;91;2;234.46;Sim;Não;Não;0.0;;
CLI01024;2024-04-05;Sexta;SMS;Reativação;Em Risco;M;35-44;Sim;Sim;Não;Sim;Sim;10;4;172;5;166.35;Sim;Sim;Não;0.0;;
CLI01435;2025-04-16;Quarta;E-mail;Conteúdo/Educativo;Novo;F;45-54;Sim;Sim;Sim;Sim;Não;0;2;4;3;84.54;Não;Não;Não;0.0;;
CLI00183;2024-04-28;Domingo;E-mail;Cross-sell;Inativo;F;18-24;Sim;Sim;Sim;Não;Sim;20;2;273;3;174.22;Sim;Sim;Não;0.0;;
CLI01276;2024-08-07;Quarta;E-mail;Promoção Flash;Novo;M;25-34;Sim;Sim;Sim;Sim;Sim;5;4;11;6;103.69;Sim;Não;Não;0.0;;
CLI00578;2024-06-29;Sábado;E-mail;Carrinho Abandonado;Ativo;F;25-34;Sim;Não;Sim;Sim;Não;0;7;65;14;192.11;Sim;Não;Não;0.0;;
CLI00018;2024-11-30;Sábado;WhatsApp;Reativação;Inativo;F;25-34;Sim;Sim;Sim;Sim;Sim;25;3;246;5;130.93;Sim;Não;Não;0.0;;
CLI00717;2025-01-24;Sexta;Push;Reativação;VIP;F;25-34;Sim;Sim;Sim;Sim;Sim;30;6;51;19;688.93;Não;Não;Não;0.0;;
CLI01166;2024-12-19;Quinta;E-mail;Conteúdo/Educativo;Ativo;F;25-34;Sim;Não;Sim;Sim;Não;0;4;17;2;211.23;Sim;Não;Não;0.0;;
CLI01106;2025-01-10;Sexta;E-mail;Conteúdo/Educativo;Inativo;M;25-34;Sim;Sim;Não;Sim;Não;0;2;194;4;92.63;Sim;Não;Não;0.0;;
CLI00570;2024-03-02;Sábado;E-mail;Promoção Flash;VIP;F;25-34;Sim;Não;Sim;Sim;Não;0;4;56;20;558.88;Não;Não;Não;0.0;;
CLI01766;2024-01-23;Terça;E-mail;Reativação;Novo;F;35-44;Sim;Sim;Não;Sim;Não;0;8;17;5;91.99;Não;Não;Não;0.0;;
CLI00702;2024-11-23;Sábado;E-mail;Pós-compra;Inativo;M;35-44;Sim;Sim;Não;Não;Não;0;8;531;5;93.87;Sim;Não;Não;0.0;;
CLI01775;2024-10-19;Sábado;E-mail;Reativação;Inativo;F;35-44;Sim;Não;Não;Sim;Não;0;1;366;5;81.68;Não;Não;Não;0.0;;
CLI01017;2025-04-07;Segunda;E-mail;Programa de Fidelidade;Inativo;F;55+;Sim;Sim;Sim;Sim;Não;0;3;214;1;168.51;Não;Não;Não;0.0;;
CLI01595;2024-12-22;Domingo;E-mail;Cross-sell;Ativo;M;35-44;Sim;Sim;Não;Não;Não;0;2;46;8;252.24;Não;Não;Não;0.0;;
CLI00281;2024-09-14;Sábado;SMS;Reativação;Ativo;M;25-34;Sim;Sim;Não;Sim;Não;0;1;22;9;163.73;Não;Não;Não;0.0;;
CLI01054;2024-05-05;Domingo;E-mail;Reativação;Em Risco;F;25-34;Sim;Sim;Não;Sim;Não;0;9;143;6;161.15;Sim;Não;Não;0.0;;
CLI01564;2024-04-02;Terça;SMS;Cross-sell;Ativo;F;35-44;Sim;Sim;Sim;Sim;Não;0;1;16;3;191.28;Não;Não;Não;0.0;;
CLI01373;2025-01-10;Sexta;E-mail;Reativação;Inativo;F;25-34;Sim;Não;Não;Não;Não;0;1;236;2;113.04;Não;Não;Não;0.0;;
CLI00950;2024-03-27;Quarta;E-mail;Reativação;Ativo;F;55+;Sim;Sim;Não;Sim;Sim;20;4;46;13;166.75;Sim;Não;Não;0.0;;
CLI01666;2024-10-21;Segunda;E-mail;Promoção Flash;VIP;F;25-34;Sim;Sim;Sim;Sim;Sim;15;3;29;8;552.47;Sim;Sim;Sim;509.21;Maquiagem;150
CLI01386;2024-12-29;Domingo;E-mail;Conteúdo/Educativo;Em Risco;F;25-34;Sim;Sim;Sim;Não;Sim;10;5;154;3;214.57;Sim;Sim;Não;0.0;;
CLI01787;2024-07-24;Quarta;SMS;Reativação;Ativo;F;35-44;Sim;Sim;Não;Não;Não;0;7;71;20;173.2;Não;Não;Não;0.0;;
CLI01075;2024-09-03;Terça;Push;Conteúdo/Educativo;Ativo;F;45-54;Sim;Sim;Sim;Sim;Sim;10;4;19;21;141.45;Não;Não;Não;0.0;;
CLI00206;2024-11-14;Quinta;WhatsApp;Promoção Flash;Inativo;M;25-34;Sim;Não;Sim;Sim;Não;0;1;215;3;152.21;Sim;Não;Não;0.0;;
CLI01366;2025-04-23;Quarta;E-mail;Carrinho Abandonado;Ativo;F;35-44;Sim;Não;Não;Sim;Não;0;1;48;23;174.36;Não;Não;Não;0.0;;
CLI01131;2024-03-10;Domingo;Push;Promoção Flash;Em Risco;F;18-24;Sim;Não;Sim;Sim;Não;0;6;171;1;166.32;Não;Não;Não;0.0;;
CLI00353;2024-02-13;Terça;E-mail;Promoção Flash;Ativo;F;25-34;Sim;Sim;Sim;Sim;Sim;25;1;90;23;230.12;Não;Não;Não;0.0;;
CLI00809;2025-06-25;Quarta;WhatsApp;Promoção Flash;VIP;M;45-54;Sim;Não;Não;Sim;Sim;15;5;22;16;598.05;Sim;Não;Não;0.0;;
CLI01235;2024-10-26;Sábado;E-mail;Programa de Fidelidade;VIP;F;45-54;Não;Não;Sim;Sim;Sim;5;2;41;8;695.85;Não;Não;Não;0.0;;
CLI00375;2024-08-03;Sábado;Push;Lançamento de Produto;Em Risco;Não informado;25-34;Sim;Sim;Sim;Não;Não;0;6;167;5;214.24;Não;Não;Não;0.0;;
CLI00234;2025-04-01;Terça;Push;Reativação;VIP;Não informado;35-44;Sim;Sim;Sim;Sim;Sim;15;7;26;15;641.91;Não;Não;Não;0.0;;
CLI01353;2024-05-22;Quarta;E-mail;Cross-sell;Em Risco;F;18-24;Sim;Sim;Não;Sim;Não;0;4;160;3;223.07;Sim;Não;Não;0.0;;
CLI01723;2024-06-11;Terça;Push;Promoção Flash;Ativo;F;55+;Não;Sim;Sim;Não;Sim;30;5;48;23;215.92;Não;Não;Não;0.0;;
CLI01637;2024-03-26;Terça;E-mail;Conteúdo/Educativo;Ativo;M;18-24;Sim;Não;Sim;Sim;Não;0;7;88;13;279.89;Não;Não;Não;0.0;;
CLI01598;2025-04-04;Sexta;WhatsApp;Programa de Fidelidade;Em Risco;F;25-34;Sim;Sim;Sim;Sim;Não;0;1;147;5;167.36;Não;Não;Não;0.0;;
CLI01101;2025-05-30;Sexta;SMS;Lançamento de Produto;Ativo;F;18-24;Sim;Não;Não;Sim;Não;0;4;24;4;241.75;Não;Não;Não;0.0;;
CLI00127;2024-01-27;Sábado;E-mail;Reativação;Novo;F;55+;Sim;Não;Sim;Não;Não;0;4;16;4;149.45;Não;Não;Não;0.0;;
CLI00369;2024-07-12;Sexta;E-mail;Reativação;Em Risco;F;25-34;Sim;Sim;Não;Sim;Não;0;5;102;6;101.25;Não;Não;Não;0.0;;
CLI00324;2025-06-07;Sábado;WhatsApp;Promoção Flash;Em Risco;F;35-44;Sim;Sim;Não;Sim;Sim;15;5;112;6;134.75;Não;Não;Não;0.0;;
CLI00309;2025-04-19;Sábado;Push;Aniversário;Em Risco;F;55+;Sim;Não;Não;Sim;Não;0;6;152;2;204.97;Sim;Sim;Não;0.0;;
CLI01462;2024-04-30;Terça;E-mail;Pós-compra;Em Risco;F;35-44;Sim;Não;Não;Sim;Sim;15;7;145;1;124.8;Não;Não;Não;0.0;;
CLI01131;2024-09-11;Quarta;E-mail;Carrinho Abandonado;Em Risco;F;18-24;Sim;Não;Sim;Sim;Não;0;9;179;1;166.32;Não;Não;Não;0.0;;
CLI01481;2025-01-21;Terça;E-mail;Conteúdo/Educativo;Em Risco;M;45-54;Sim;Não;Sim;Sim;Não;0;4;175;4;134.46;Não;Não;Não;0.0;;
CLI00580;2025-01-20;Segunda;E-mail;Carrinho Abandonado;VIP;M;18-24;Sim;Sim;Não;Não;Não;0;3;49;6;393.73;Sim;Não;Não;0.0;;
CLI00311;2024-03-07;Quinta;E-mail;Reativação;VIP;F;25-34;Sim;Sim;Não;Sim;Sim;30;3;34;9;613.87;Sim;Não;Não;0.0;;
CLI01691;2025-02-20;Quinta;E-mail;Promoção Flash;Em Risco;F;25-34;Sim;Não;Não;Sim;Não;0;1;164;1;208.13;Não;Não;Não;0.0;;
CLI00893;2024-05-20;Segunda;WhatsApp;Aniversário;Novo;F;35-44;Sim;Não;Sim;Sim;Não;0;2;25;4;84.19;Sim;Sim;Sim;108.03;Skincare;67
CLI00733;2024-06-16;Domingo;WhatsApp;Pós-compra;Inativo;F;25-34;Sim;Não;Não;Sim;Não;0;6;236;1;113.66;Sim;Não;Não;0.0;;
CLI00001;2024-12-15;Domingo;E-mail;Carrinho Abandonado;Em Risco;F;25-34;Sim;Não;Não;Não;Não;0;9;132;1;182.67;Sim;Não;Não;0.0;;
CLI01700;2024-01-23;Terça;WhatsApp;Aniversário;Ativo;F;35-44;Sim;Sim;Não;Não;Sim;10;7;78;24;146.34;Sim;Sim;Sim;115.51;Maquiagem;22
CLI01614;2025-03-02;Domingo;E-mail;Reativação;Inativo;F;25-34;Sim;Não;Sim;Sim;Não;0;7;428;2;96.4;Não;Não;Não;0.0;;
CLI00134;2025-06-12;Quinta;E-mail;Carrinho Abandonado;Em Risco;F;25-34;Sim;Não;Sim;Sim;Não;0;5;160;1;130.87;Não;Não;Não;0.0;;
CLI01494;2024-01-03;Quarta;WhatsApp;Cross-sell;VIP;M;35-44;Sim;Não;Sim;Sim;Não;0;5;16;6;677.25;Sim;Não;Não;0.0;;
CLI01737;2024-04-17;Quarta;Push;Pós-compra;Novo;F;35-44;Sim;Não;Sim;Não;Não;0;5;30;1;146.7;Não;Não;Não;0.0;;
CLI00543;2025-03-08;Sábado;SMS;Promoção Flash;Ativo;F;25-34;Sim;Sim;Sim;Não;Não;0;7;46;18;202.45;Não;Não;Não;0.0;;
CLI01427;2025-03-26;Quarta;E-mail;Cross-sell;Novo;M;25-34;Sim;Sim;Não;Sim;Não;0;5;23;1;130.12;Sim;Não;Não;0.0;;
CLI00535;2024-11-17;Domingo;Push;Reativação;Ativo;F;35-44;Sim;Não;Sim;Sim;Não;0;2;32;2;177.9;Não;Não;Não;0.0;;
CLI00120;2025-05-04;Domingo;WhatsApp;Carrinho Abandonado;Em Risco;F;18-24;Sim;Sim;Sim;Sim;Sim;10;9;179;1;166.67;Não;Não;Não;0.0;;
CLI00866;2024-03-04;Segunda;E-mail;Promoção Flash;Ativo;M;25-34;Sim;Sim;Sim;Sim;Não;0;7;86;6;270.32;Sim;Não;Não;0.0;;
CLI00842;2024-05-08;Quarta;E-mail;Promoção Flash;Ativo;F;18-24;Sim;Sim;Não;Sim;Sim;5;3;22;24;163.84;Sim;Não;Não;0.0;;
CLI01173;2024-11-04;Segunda;Push;Carrinho Abandonado;Novo;F;35-44;Sim;Sim;Não;Sim;Não;0;3;2;5;124.12;Não;Não;Não;0.0;;
CLI00769;2024-10-07;Segunda;Push;Conteúdo/Educativo;Em Risco;F;18-24;Sim;Sim;Sim;Sim;Não;0;5;146;3;178.83;Não;Não;Não;0.0;;
CLI00670;2025-03-22;Sábado;E-mail;Reativação;Inativo;F;25-34;Sim;Sim;Não;Sim;Não;0;7;340;6;72.5;Não;Não;Não;0.0;;
CLI01004;2025-03-29;Sábado;E-mail;Programa de Fidelidade;Em Risco;F;25-34;Sim;Sim;Sim;Sim;Não;0;5;130;5;236.11;Não;Não;Não;0.0;;
CLI00268;2024-07-07;Domingo;Push;Aniversário;Ativo;F;18-24;Não;Não;Sim;Não;Não;0;3;28;14;145.89;Não;Não;Não;0.0;;
CLI01246;2024-12-21;Sábado;E-mail;Reativação;VIP;Não informado;25-34;Sim;Sim;Não;Não;Não;0;6;53;11;661.14;Não;Não;Não;0.0;;
CLI00243;2024-06-28;Sexta;E-mail;Carrinho Abandonado;Em Risco;Não informado;35-44;Sim;Sim;Não;Sim;Não;0;7;148;6;121.14;Não;Não;Não;0.0;;
CLI01422;2025-04-30;Quarta;E-mail;Reativação;Novo;M;45-54;Sim;Sim;Sim;Sim;Não;0;3;3;6;83.58;Sim;Sim;Não;0.0;;
CLI00205;2024-04-04;Quinta;E-mail;Lançamento de Produto;Ativo;Não informado;45-54;Sim;Sim;Não;Sim;Não;0;4;47;13;252.76;Não;Não;Não;0.0;;
CLI00796;2024-03-02;Sábado;E-mail;Programa de Fidelidade;Em Risco;F;45-54;Sim;Sim;Não;Não;Não;0;5;104;5;211.25;Não;Não;Não;0.0;;
CLI00812;2025-05-07;Quarta;Push;Lançamento de Produto;Ativo;F;35-44;Sim;Sim;Sim;Sim;Sim;15;2;25;1;248.68;Não;Não;Não;0.0;;
CLI00418;2025-06-25;Quarta;E-mail;Conteúdo/Educativo;Novo;F;25-34;Sim;Sim;Sim;Sim;Não;0;9;11;1;135.25;Não;Não;Não;0.0;;
CLI00718;2024-06-21;Sexta;E-mail;Carrinho Abandonado;Em Risco;F;55+;Sim;Sim;Sim;Não;Sim;20;4;130;3;213.34;Não;Não;Não;0.0;;
CLI00477;2025-05-30;Sexta;E-mail;Carrinho Abandonado;Ativo;F;45-54;Sim;Não;Não;Sim;Sim;20;7;49;9;140.13;Não;Não;Não;0.0;;
CLI00626;2025-01-11;Sábado;E-mail;Cross-sell;Ativo;F;25-34;Sim;Sim;Sim;Não;Não;0;6;40;22;264.1;Sim;Sim;Sim;357.66;Kits/Presentes;88
CLI01577;2025-05-18;Domingo;Push;Promoção Flash;Ativo;F;45-54;Sim;Não;Sim;Não;Sim;25;7;25;15;166.87;Não;Não;Não;0.0;;
CLI00423;2024-09-05;Quinta;Push;Promoção Flash;Ativo;M;25-34;Sim;Sim;Sim;Sim;Sim;5;6;36;18;169.64;Não;Não;Não;0.0;;
CLI01137;2025-01-23;Quinta;Push;Pós-compra;Em Risco;F;55+;Sim;Não;Sim;Sim;Não;0;9;136;6;173.51;Não;Não;Não;0.0;;
CLI00125;2024-03-09;Sábado;SMS;Aniversário;Ativo;M;25-34;Sim;Sim;Não;Sim;Sim;20;3;20;11;229.77;Sim;Sim;Não;0.0;;
